Mastermix,Nickase,Buffer,Template ,Polymerase,Cq50(P),Cq50(N),Cq50(N-P)
1,0.2,0.5,25,0.02,32.78808544,32.74715381,-0.04093163
2,0.5,0.5,25,0.02,142.3932818,145.4238122,3.030530427
3,0.2,1,25,0.02,16.33389727,17.29390562,0.960008346
4,0.2,0.5,50,0.02,42.65649062,43.50679643,0.850305809
5,0.2,0.5,25,0.05,17.4207487,17.90120093,0.480452228
6,0.5,1,25,0.02,31.22369338,31.79320989,0.569516508
7,0.5,0.5,50,0.02,124.7274988,125.1883047,0.460805904
8,0.5,0.5,25,0.05,167.8653592,181.0995629,13.23420373
9,0.2,1,50,0.02,13.23703459,13.43364844,0.196613848
10,0.2,1,25,0.05,8.413111531,8.683896748,0.270785217
11,0.2,0.5,50,0.05,10.91674371,11.00713378,0.090390074
12,0.5,1,50,0.02,17.82053335,18.14746729,0.326933934
13,0.5,1,25,0.05,11.70117473,12.02859806,0.327423325
14,0.2,1,50,0.05,5.081502471,5.372644823,0.291142352
15,0.5,0.5,50,0.05,42.68851892,42.47365897,-0.214859947
16,0.5,1,50,0.05,9.516756845,9.980341881,0.463585036
17,0.35,0.75,37.5,0.035,32.06122608,32.92485054,0.863624465
18,0.05,0.75,37.5,0.035,9.279492067,9.768421147,0.48892908
19,0.65,0.75,37.5,0.035,72.49440129,71.91942739,-0.574973906
20,0.35,0.25,37.5,0.035,0,0,0
21,0.35,1.25,37.5,0.035,8.874559159,9.177062032,0.302502873
22,0.35,0.75,12.5,0.035,64.59777373,65.92694383,1.329170106
23,0.35,0.75,62.5,0.035,30.29063205,27.20001413,-3.090617926
24,0.35,0.75,37.5,0.005,96.14054419,101.0438256,4.903281443
25,0.35,0.75,37.5,0.065,23.20685493,23.96607364,0.759218709